Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
AU Small Finance Bank,4.2k,12.3k,Banking - Jaipur +723 other locations,26.6k,3.3k,52,"Job Security, Skill Development / Learning, Company Culture",
IndusInd Bank,3.5k,11.9k,Banking - Mumbai +751 other locations,49.1k,1.9k,145,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Ernst & Young,3.4k,11.8k,"Management Consulting - Bangalore , Bengaluru +120 other locations",1.2L,1.7k,3.3k,,"Work Life Balance, Promotions / Appraisal, Company Culture"
IDFC FIRST Bank,3.9k,11.5k,Banking - Mumbai +662 other locations,45.1k,1.6k,31,Salary & Benefits,
Flipkart,3.9k,11.4k,"Internet - Bangalore , Bengaluru +542 other locations",49.8k,5.3k,147,Skill Development / Learning,Promotions / Appraisal
DXC Technology,3.7k,10.7k,"IT Services & Consulting - Bangalore , Bengaluru +127 other locations",72.9k,2.2k,247,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Infosys BPM,3.6k,10.6k,"BPO - Bangalore , Bengaluru +87 other locations",68.2k,745,69,Job Security,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Mahindra & Mahindra,4.1k,10.4k,Automobile - Pune +530 other locations,36.8k,1.7k,34,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Bajaj Finserv,4.0k,10.3k,Financial Services - Pune +1049 other locations,27.9k,2.4k,28,"Salary & Benefits, Skill Development / Learning, Job Security",
PwC,3.4k,10.3k,"Management Consulting - Bangalore , Bengaluru +120 other locations",98.1k,3k,1.6k,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
HDFC Life,3.9k,10.1k,Insurance - Mumbai +639 other locations,31.1k,11k,26,"Skill Development / Learning, Company Culture, Work Life Balance",
Conneqt Business Solutions,3.6k,9.3k,"BPO - Hyderabad , Secunderabad +252 other locations",26.8k,8.6k,385,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Mphasis,3.3k,9k,"IT Services & Consulting - Bangalore , Bengaluru +57 other locations",70k,6k,122,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Bandhan Bank,3.7k,8.6k,Banking - Kolkata +907 other locations,23.1k,5.9k,3,Job Security,"Promotions / Appraisal, Work Satisfaction"
Yes Bank,3.7k,8.6k,Banking - Mumbai +497 other locations,41.7k,5k,168,,"Work Satisfaction, Job Security, Promotions / Appraisal"
Tata Steel,4.0k,8.3k,Iron & Steel - Jamshedpur +212 other locations,30.7k,2.4k,--,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Startek,3.1k,8.2k,"Bangalore , Bengaluru +99 other locations",23.5k,7.9k,65,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Quess,3.8k,8k,"BPO - Bangalore , Bengaluru +650 other locations",29.1k,2.6k,43,,"Promotions / Appraisal, Job Security"
Asian Paints,4.0k,8k,Chemicals - Mumbai +502 other locations,22.8k,4.1k,33,"Salary & Benefits, Skill Development / Learning, Job Security","Work Life Balance, Promotions / Appraisal"
Paytm,3.2k,8k,FinTech - Noida +375 other locations,31.8k,4.1k,261,,"Job Security, Company Culture, Promotions / Appraisal"
UltraTech Cement,4.2k,7.8k,Building Material - Mumbai +486 other locations,21.7k,3.3k,303,"Job Security, Skill Development / Learning, Company Culture",
Maruti Suzuki,4.2k,7.7k,"Automobile - Gurgaon , Gurugram +409 other locations",24.9k,1.9k,621,"Job Security, Salary & Benefits, Skill Development / Learning",
Samsung,3.9k,7.7k,Consumer Electronics & Appliances - Noida +553 other locations,25.8k,1.7k,40,Salary & Benefits,Promotions / Appraisal
Shriram Finance,4.0k,7.7k,NBFC - Chennai +1033 other locations,14k,1.6k,23,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
